ride_id,started_at,ended_at,start_station,end_station,user_type
R104178,2026-07-13 08:56:00,2026-07-13 09:26:43,CENTENNIAL OLYMPIC PARK,little five points,casual
R103899,2026-07-10 11:15:00,2026-07-10 11:23:45,Midtown MARTA,Centennial Olympic Park,member
R100784,2026-06-08 10:44:00,06/08/2026 10:51,Midtown MARTA,Atlantic Station,member
R105163,2026-07-22 19:38:00,2026-07-22 19:47:00,Midtown MARTA,Piedmont Park,member
R104929,2026-07-20 11:58:00,07/20/2026 12:19,Krog Street Market,Georgia State University,casual
R102543,2026-06-25 06:07:00,25-Jun-2026 06:29,Atlantic Station,Midtown MARTA,casual
R100532,06/06/2026 07:43,06/06/2026 07:51,Atlantic Station,Ponce City Market,casual
R104727,18-Jul-2026 12:38,07/18/2026 12:57,  Georgia State University ,Midtown MARTA,member
R103038,2026-07-01 14:23:00,01-Jul-2026 14:36,Piedmont Park,Georgia State University,member
R104941,2026-07-20 21:59:00,2026-07-20 22:16:48,Atlantic Station,Ponce City Market,member
R100854,2026-06-09 18:26:00,2026-06-09 18:28:57,GEORGIA STATE UNIVERSITY,Grant Park,member
R101542,2026-06-16 17:06:00,06/16/2026 17:14,Ponce City Market,Georgia State University,member
R104138,2026-07-12 11:36:00,2026-07-12 11:36:00,georgia state university,georgia state university,casual
R105557,2026-07-26 11:46:00,2026-07-26 11:56:13,Centennial Olympic Park,Ponce City Market,casual
R104255,2026-07-14 13:04:00,14-Jul-2026 13:26,Midtown MARTA,Centennial Olympic Park,casual
R105590,2026-07-26 10:15:00,2026-07-26 10:23:46,Piedmont Park,Ponce City Market,casual
R104019,2026-07-11 14:21:00,2026-07-11 14:37:49,Midtown MARTA,GEORGIA STATE UNIVERSITY,member
R101004,2026-06-10 20:08:00,2026-06-10 20:14:10,MIDTOWN MARTA,Atlantic Station,member
R104376,15-Jul-2026 16:49,07/15/2026 17:06,  Ponce City Market ,krog street market,casual
R103170,2026-07-02 13:07:00,2026-07-02 13:14:10,Piedmont Park,Georgia State University,member
R100490,2026-06-05 06:59:00,2026-06-05 07:06:10,Ponce City Market,Midtown MARTA,casual
R100526,06/06/2026 11:50,2026-06-06 12:13:11,Midtown MARTA,ponce city market,casual
R103979,2026-07-10 17:47:00,2026-07-10 18:01:14,MIDTOWN MARTA,Centennial Olympic Park,member
R103698,2026-07-08 09:02:00,07/08/2026 09:27,Atlantic Station,Ponce City Market,casual
R102616,26-Jun-2026 07:49,06/26/2026 07:59,Ponce City Market,ATLANTIC STATION,member
R105908,07/30/2026 06:53,07/30/2026 07:11,Midtown MARTA,Atlantic Station,member
R103356,2026-07-04 12:57:00,07/04/2026 13:07,Ponce City Market,Atlantic Station,member
R102655,06/26/2026 18:56,2026-06-26 19:02:29,Georgia State University,West End,casual
R101863,2026-06-19 05:39:00,2026-06-19 05:56:10,Midtown MARTA,PONCE CITY MARKET,member
R104515,2026-07-16 11:51:00,2026-07-16 12:05:45,Atlantic Station,  Midtown MARTA ,casual
R101946,2026-06-20 09:06:00,2026-06-20 09:30:09,Little Five Points,Georgia State University,casual
R104306,2026-07-14 10:27:00,2026-07-14 10:34:05,Georgia State University,,member
R100678,2026-06-07 09:13:00,2026-06-07 09:09:00,Ponce City Market,Midtown MARTA,member
R100666,2026-06-07 20:08:00,07-Jun-2026 20:25,KROG STREET MARKET,Ponce City Market,member
R103636,07/07/2026 08:20,2026-07-07 08:36:46,Grant Park,Georgia State University,member
R100213,2026-06-03 18:40:00,2026-06-03 19:09:14,Atlantic Station,Midtown MARTA,casual
R104307,2026-07-14 22:29:00,2026-07-14 22:39:33,Midtown MARTA,Ponce City Market,member
R104054,07/11/2026 14:21,2026-07-11 14:28:57,Ponce City Market,Centennial Olympic Park,member
R105280,2026-07-23 15:46:00,23-Jul-2026 16:04,Midtown MARTA,Georgia State University,member
R105083,2026-07-21 18:10:00,2026-07-21 18:31:25,Atlantic Station,Piedmont Park,member
R100359,2026-06-04 11:08:00,2026-06-04 11:15:12,Atlantic Station,Midtown MARTA,member
R105831,2026-07-29 08:13:00,07/29/2026 08:22,Ponce City Market,midtown marta,member
R104974,07/20/2026 08:51,2026-07-20 09:07:53,  Midtown MARTA ,Ponce City Market,casual
R104318,2026-07-14 18:00:00,2026-07-14 18:12:27,GEORGIA STATE UNIVERSITY,Ponce City Market,member
R103188,2026-07-02 19:53:00,2026-07-02 20:00:23,Ponce City Market,Midtown MARTA,member
R103576,07/07/2026 12:27,2026-07-07 13:02:24,Krog Street Market,Georgia State University,casual
R104913,2026-07-19 07:50:00,07/19/2026 08:12,Ponce City Market,Atlantic Station,casual
R101543,16-Jun-2026 04:01,2026-06-16 04:07:47,Centennial Olympic Park,Piedmont Park,member
R105071,2026-07-21 10:04:00,21-Jul-2026 10:10,Atlantic Station,Midtown MARTA,member
R105282,2026-07-23 19:25:00,2026-07-23 19:35:14,  Ponce City Market ,  Grant Park ,member
R105736,07/28/2026 17:26,07/28/2026 17:41,krog street market,West End,member
R100370,2026-06-04 17:06:00,2026-06-04 17:21:43,Midtown MARTA,Ponce City Market,member
R104024,2026-07-11 11:12:00,2026-07-11 11:26:24,Ponce City Market,Piedmont Park,member
R102364,2026-06-24 11:19:00,06/24/2026 11:28,GEORGIA STATE UNIVERSITY,Ponce City Market,member
R100135,2026-06-02 05:20:00,2026-06-02 05:25:10,Georgia State University,Midtown MARTA,member
R101117,2026-06-11 18:12:00,2026-06-11 18:20:26,Georgia State University,Centennial Olympic Park,member
R105407,2026-07-24 10:37:00,2026-07-24 10:53:00,Georgia State University,Atlantic Station,casual
R103565,2026-07-07 19:55:00,07/07/2026 20:17,georgia state university,Centennial Olympic Park,casual
R104610,2026-07-17 13:43:00,2026-07-17 14:03:05,Centennial Olympic Park,Ponce City Market,member
R101248,2026-06-12 16:08:00,2026-06-12 16:13:42,Midtown MARTA,  Centennial Olympic Park ,member
R101703,2026-06-17 15:57:00,2026-06-17 16:07:19,Georgia State University,Atlantic Station,member
R103803,07/09/2026 11:55,2026-07-09 12:06:00,PONCE CITY MARKET,  Piedmont Park ,member
R102641,2026-06-26 17:19:00,2026-06-26 17:35:15,Georgia State University,West End,member
R105735,2026-07-28 16:02:00,2026-07-28 16:11:59,Centennial Olympic Park,KROG STREET MARKET,member
R102986,30-Jun-2026 17:36,2026-06-30 17:47:18,centennial olympic park,Ponce City Market,member
R100302,2026-06-03 16:30:00,2026-06-03 16:45:00,georgia state university,MIDTOWN MARTA,member
R100550,2026-06-06 15:21:00,2026-06-06 15:34:19,PONCE CITY MARKET,Midtown MARTA,member
R102846,2026-06-28 08:55:00,2026-06-28 08:56:59,Georgia State University,midtown marta,casual
R104532,2026-07-16 01:48:00,2026-07-16 01:59:36,Georgia State University,Midtown MARTA,casual
R104139,2026-07-12 10:38:00,2026-07-12 10:55:19,Ponce City Market,Midtown MARTA,member
R105317,2026-07-24 08:22:00,2026-07-24 08:34:49,Centennial Olympic Park,Georgia State University,member
R101370,2026-06-14 12:48:00,06/14/2026 13:14,Centennial Olympic Park,Midtown MARTA,casual
R103933,2026-07-10 18:48:00,2026-07-10 18:48:00,Ponce City Market,Ponce City Market,member
R100506,2026-06-05 16:07:00,2026-06-05 16:26:49,Midtown MARTA,Georgia State University,casual
R100578,2026-06-06 13:57:00,2026-06-06 14:11:20,Little Five Points,Ponce City Market,member
R104734,2026-07-18 17:31:00,2026-07-18 17:45:13,MIDTOWN MARTA,Little Five Points,casual
R104231,2026-07-13 21:19:00,2026-07-13 21:49:58,Ponce City Market,KROG STREET MARKET,casual
R104393,2026-07-15 19:14:00,07/15/2026 19:26,Georgia State University,West End,member
R105470,2026-07-25 12:36:00,2026-07-25 12:50:20,  Atlantic Station ,Centennial Olympic Park,member
R103954,2026-07-10 12:45:00,2026-07-10 12:59:05,West End,piedmont park,member
R100736,2026-06-08 19:38:00,2026-06-08 19:46:38,Midtown MARTA,Centennial Olympic Park,member
R102653,2026-06-26 14:59:00,2026-06-26 15:22:23,Ponce City Market,Georgia State University,casual
R103469,06-Jul-2026 15:43,2026-07-06 15:47:51,Ponce City Market,CENTENNIAL OLYMPIC PARK,member
R104070,07/11/2026 09:03,2026-07-11 09:30:01,Ponce City Market,Krog St. Market,casual
R104028,2026-07-11 13:12:00,2026-07-11 13:21:35,Georgia State University,Midtown MARTA,member
R103040,2026-07-01 05:01:00,2026-07-01 05:12:13,PIEDMONT PARK,Ponce City Market,member
R105508,2026-07-26 10:23:00,2026-07-26 10:55:50,PIEDMONT PARK,Centennial Olympic Park,casual
R104709,07/18/2026 12:20,2026-07-18 13:00:53,krog street market,Piedmont Park,casual
R102625,06/26/2026 09:38,2026-06-26 09:50:33,  Georgia State University ,Ponce City Market,member
R104520,07/16/2026 17:40,2026-07-16 18:10:12,Ponce City Market,  Atlantic Station ,casual
R101417,2026-06-15 11:24:00,2026-06-15 11:51:24,Atlantic Station,georgia state university,casual
R104162,2026-07-12 16:45:00,12-Jul-2026 17:21,Midtown MARTA,Piedmont Park,casual
R101524,2026-06-15 18:15:00,2026-06-15 18:46:37,Centennial Olympic Park,Midtown MARTA,casual
R104552,07/16/2026 14:53,07/16/2026 14:58,Atlantic Station,Georgia State University,member
R101576,06/16/2026 19:57,2026-06-16 20:34:03,midtown marta,Ponce City Market,casual
R101747,2026-06-18 11:23:00,2026-06-18 11:36:00,Midtown MARTA,,member
R102553,06/25/2026 18:38,2026-06-25 19:09:41,Ponce City Market,Midtown MARTA,casual
R103267,2026-07-03 07:42:00,2026-07-03 08:01:45,centennial olympic park,Midtown MARTA,member
R104372,2026-07-15 11:54:00,2026-07-15 12:05:55,KROG STREET MARKET,Georgia State University,member
R100901,2026-06-09 22:47:00,09-Jun-2026 22:55,Centennial Olympic Park,Ponce City Market,member
R105778,2026-07-28 06:02:00,2026-07-28 06:06:29,Centennial Olympic Park,midtown marta,member
R100064,06/01/2026 20:04,2026-06-01 20:10:03,ponce city market,Midtown MARTA,member
R105486,2026-07-26 20:33:00,2026-07-26 20:35:22,Ponce City Market,Midtown MARTA,casual
R102829,2026-06-28 17:53:00,2026-06-28 17:56:24,Ponce City Market,Krog Street Market,member
R103639,2026-07-07 18:32:00,07-Jul-2026 18:47,Atlantic Station,Midtown MARTA,member
R100491,06/05/2026 22:13,06/05/2026 22:29,Ponce City Market,Centennial Olympic Park,member
R101626,2026-06-17 08:17:00,17-Jun-2026 08:25,Midtown MARTA,Piedmont Park,member
R100682,2026-06-07 08:00:00,06/07/2026 08:06,  Midtown MARTA ,Ponce City Market,casual
R100160,2026-06-02 20:07:00,2026-06-02 20:18:53,Midtown MARTA,Georgia State University,member
R100598,2026-06-07 08:25:00,06/07/2026 08:40,Midtown MARTA,Georgia State University,casual
R103532,2026-07-06 11:49:00,07/06/2026 11:59,Ponce City Market,MIDTOWN MARTA,member
R100536,2026-06-06 20:19:00,2026-06-06 20:25:29,CENTENNIAL OLYMPIC PARK,GEORGIA STATE UNIVERSITY,casual
R105752,2026-07-28 22:04:00,2026-07-28 22:12:53,Piedmont Park,Ponce City Market,member
R100814,2026-06-09 18:48:00,06/09/2026 19:00,Georgia State University,Krog Street Market,member
R101720,06/17/2026 08:48,2026-06-17 08:57:31,Midtown MARTA,Ponce City Market,member
R103047,2026-07-01 17:37:00,2026-07-01 17:49:31,Midtown MARTA,Atlantic Station,member
R102488,2026-06-25 17:00:00,25-Jun-2026 17:07,Georgia State University,Piedmont Park,member
R102567,2026-06-25 19:29:00,2026-06-25 19:30:00,  Midtown MARTA ,Ponce City Market,casual
R105540,2026-07-26 18:08:00,26-Jul-2026 18:12,Midtown MARTA,Piedmont Park,member
R101470,15-Jun-2026 19:58,2026-06-15 20:04:14,Ponce City Market,Midtown MARTA,member
R101584,2026-06-16 12:14:00,2026-06-16 12:25:54,Midtown MARTA,Centennial Olympic Park,member
R101628,2026-06-17 07:50:00,2026-06-17 08:09:18,Midtown MARTA,Atlantic Station,casual
R102478,2026-06-25 15:21:00,2026-06-25 15:36:08,Atlantic Station,Georgia State University,member
R104147,2026-07-12 14:40:00,12-Jul-2026 14:53,Ponce City Market,Midtown MARTA,member
R101173,06/12/2026 06:33,06/12/2026 07:07,Atlantic Station,Ponce City Market,casual
R102686,2026-06-27 16:20:00,2026-06-27 16:28:35,Little Five Points,Ponce City Market,member
R102839,06/28/2026 13:56,2026-06-28 14:12:44,Georgia State University,Midtown MARTA,casual
R100148,2026-06-02 19:56:00,2026-06-02 20:05:54,CENTENNIAL OLYMPIC PARK,PONCE CITY MARKET,member
R104382,07/15/2026 13:45,2026-07-15 13:55:15,West End,Midtown MARTA,member
R101346,2026-06-14 14:23:00,06/14/2026 14:53,Midtown MARTA,Centennial Olympic Park,casual
R105827,2026-07-29 19:31:00,2026-07-29 19:39:29,Midtown MARTA,Ponce City Market,member
R101536,06/16/2026 02:20,2026-06-16 02:26:44,Centennial Olympic Park,Midtown MARTA,member
R102651,2026-06-26 14:43:00,2026-06-26 14:57:13,Midtown MARTA,Centennial Olympic Park,member
R105811,07/29/2026 06:07,2026-07-29 06:19:42,MIDTOWN MARTA,Ponce City Market,member
R103939,10-Jul-2026 06:22,2026-07-10 06:36:43,Krog Street Market,MIDTOWN MARTA,member
R103521,2026-07-06 10:27:00,2026-07-06 10:48:43,Midtown MARTA,Ponce City Market,casual
R103508,07/06/2026 06:21,2026-07-06 06:30:13,Piedmont Park,Georgia State University,member
R104319,07/14/2026 16:05,07/14/2026 16:13,Centennial Olympic Park,Ponce City Market,member
R104308,2026-07-14 18:01:00,07/14/2026 18:24,  Ponce City Market ,,casual
R105296,07/23/2026 18:54,2026-07-23 19:03:52,Ponce City Market,Georgia State University,member
R100919,2026-06-10 16:24:00,2026-06-10 16:35:50,Atlantic Station,Ponce City Market,member
R105715,2026-07-27 13:26:00,2026-07-27 13:39:39,  Piedmont Park ,Krog Street Market,member
R102213,2026-06-22 12:51:00,2026-06-22 12:59:37,atlantic station,  Georgia State University ,member
R101188,2026-06-12 18:57:00,06/12/2026 19:03,Midtown MARTA,Krog Street Market,member
R104374,07/15/2026 07:05,2026-07-15 07:23:29,Georgia State University,Ponce City Market,member
R102914,2026-06-29 06:54:00,2026-06-29 07:25:49,Little Five Points,  Georgia State University ,casual
R102620,2026-06-26 18:31:00,06/26/2026 18:34,Krog Street Market,Atlantic Station,member
R100233,2026-06-03 22:29:00,2026-06-03 22:59:34,Little Five Points,Centennial Olympic Park,casual
R104864,2026-07-19 18:13:00,2026-07-19 18:22:56,Piedmont Park,Ponce City Market,member
R102963,2026-06-30 06:32:00,2026-06-30 06:45:30,West End,Centennial Olympic Park,member
R104795,2026-07-18 12:23:00,2026-07-18 12:34:58,Piedmont Park,PONCE CITY MARKET,member
R103190,2026-07-02 13:30:00,2026-07-02 13:46:08,  Grant Park ,Centennial Olympic Park,member
R102984,30-Jun-2026 13:57,2026-06-30 14:20:38,Ponce City Market,Centennial Olympic Park,casual
R103885,09-Jul-2026 16:04,2026-07-09 16:27:59,PIEDMONT PARK,Midtown MARTA,casual
R102577,2026-06-26 18:35:00,06/26/2026 18:50,Ponce City Market,Centennial Olympic Park,member
R101633,06/17/2026 04:20,2026-06-17 04:29:20,Georgia State University,Midtown MARTA,member
R104953,07/20/2026 19:51,07/20/2026 20:03,Midtown MARTA,Centennial Olympic Park,member
R100996,2026-06-10 16:11:00,2026-06-10 16:21:43,Ponce City Market,Midtown MARTA,member
R105873,07/29/2026 16:52,07/29/2026 17:00,Georgia State University,Ponce City Market,member
R102530,2026-06-25 15:48:00,2026-06-25 15:49:00,Piedmont Park,Georgia State University,casual
R102636,2026-06-26 17:08:00,2026-06-26 17:14:35,Ponce City Market,Krog Street Market,member
R104936,07/20/2026 19:49,07/20/2026 19:58,midtown marta,Centennial Olympic Park,member
R103772,09-Jul-2026 12:03,2026-07-09 12:18:19,Ponce City Market,Midtown MARTA,member
R100838,09-Jun-2026 07:02,2026-06-09 07:12:05,Midtown MARTA,ponce city market,member
R105975,2026-07-30 10:00:00,2026-07-30 10:05:03,Ponce City Market,Midtown MARTA,member
R100803,06/08/2026 15:29,06/08/2026 15:33,Ponce City Market,Midtown MARTA,member
R102114,2026-06-21 14:16:00,2026-06-21 14:50:17,Atlantic Station,Midtown MARTA,casual
R105992,07/30/2026 09:54,2026-07-30 10:08:43,  Midtown MARTA ,Georgia State University,member
R101669,17-Jun-2026 18:22,2026-07-05 18:22:00,atlantic station,Ponce City Market,member
R102942,2026-06-29 19:45:00,2026-06-29 19:59:58,Krog St. Market,Ponce City Market,member
R104471,2026-07-16 19:07:00,2026-07-16 19:14:36,Centennial Olympic Park,Atlantic Station,member
R100739,2026-06-08 08:09:00,06/08/2026 08:23,Krog Street Market,Midtown MARTA,member
R101842,2026-06-19 08:47:00,2026-06-19 08:51:32,  West End ,CENTENNIAL OLYMPIC PARK,member
R103734,2026-07-08 12:57:00,07/08/2026 13:07,LITTLE FIVE POINTS,CENTENNIAL OLYMPIC PARK,member
R102908,06/29/2026 17:12,2026-06-29 17:13:00,Atlantic Station,Midtown MARTA,casual
R101930,2026-06-19 17:40:00,2026-06-19 17:51:03,PONCE CITY MARKET,Georgia State University,member
R104852,2026-07-19 08:05:00,07/19/2026 08:09,Ponce City Market,Georgia State University,member
R104668,2026-07-17 11:55:00,2026-07-17 12:06:22,Centennial Olympic Park,Ponce City Market,member
R102408,2026-06-24 07:03:00,2026-06-24 07:16:56,PONCE CITY MARKET,MIDTOWN MARTA,member
R103691,2026-07-08 07:40:00,2026-07-08 07:50:26,  Grant Park ,Ponce City Market,member
R101268,13-Jun-2026 20:08,06/13/2026 20:38,Grant Park,Ponce City Market,casual
R103668,2026-07-08 08:14:00,2026-07-08 08:23:14,Georgia State University,Centennial Olympic Park,member
R105770,2026-07-28 08:36:00,2026-07-28 08:50:30,Atlantic Station,Centennial Olympic Pk,member
R102784,2026-06-28 11:06:00,06/28/2026 11:26,Georgia State University,Midtown MARTA,casual
R101776,06/18/2026 21:19,2026-06-18 21:34:28,midtown marta,Little Five Points,member
R102417,2026-06-24 06:46:00,06/24/2026 07:12,Ponce City Market,Centennial Olympic Park,casual
R103397,2026-07-05 12:47:00,2026-07-18 12:47:00,  Georgia State University ,Midtown MARTA,casual
R104522,07/16/2026 10:25,2026-07-16 10:36:20,Krog Street Market,Midtown MARTA,member
R104176,07/12/2026 13:56,2026-07-12 14:19:01,Ponce City Market,Georgia State University,member
R103680,2026-07-08 16:26:00,2026-07-08 16:38:16,Midtown MARTA,Atlantic Station,member
R101362,2026-06-14 07:44:00,2026-06-14 07:49:41,Little Five Points,Ponce City Market,member
R103701,08-Jul-2026 14:55,2026-07-08 14:56:00,Piedmont Park,Little Five Points,casual
R100378,2026-06-04 18:21:00,2026-06-04 18:21:00,Centennial Olympic Park,Centennial Olympic Park,member
R101493,2026-06-15 11:04:00,2026-06-15 11:10:32,Midtown MARTA,  Piedmont Park ,member
R100041,2026-06-01 07:00:00,2026-06-01 07:13:31,Centennial Olympic Park,Midtown MARTA,member
R103241,2026-07-03 20:37:00,2026-07-03 20:49:58,Ponce City Market,Georgia State University,member
R103195,2026-07-02 08:10:00,02-Jul-2026 08:40,Georgia State University,Piedmont Park,casual
R105974,07/30/2026 09:39,2026-07-30 09:46:16,Centennial Olympic Park,Georgia State University,
R103116,07/02/2026 14:18,07/02/2026 14:18,Midtown MARTA,Midtown MARTA,casual
R104091,2026-07-11 10:05:00,2026-07-11 10:06:00,Georgia State University,Centennial Olympic Park,casual
R103857,2026-07-09 09:46:00,2026-07-09 10:00:24,Ponce City Market,  Midtown MARTA ,
R104209,07/13/2026 06:02,07/13/2026 06:06,Atlantic Station,Midtown MARTA,
R105530,26-Jul-2026 08:07,2026-07-26 08:39:49,Midtown MARTA,Piedmont Park,casual
R105419,25-Jul-2026 18:15,07/25/2026 18:27,Midtown MARTA,  Centennial Olympic Park ,member
R103316,2026-07-04 09:26:00,07/04/2026 09:55,Centennial Olympic Park,  Ponce City Market ,casual
R101556,06/16/2026 19:04,2026-06-16 19:32:17,GEORGIA STATE UNIVERSITY,Piedmont Park,casual
R103008,2026-06-30 13:19:00,2026-06-30 13:32:09,Midtown MARTA,Georgia State University,member
R104847,2026-07-19 15:03:00,2026-07-19 15:14:55,Georgia State University,Ponce City Market,member
R100645,06/07/2026 14:49,06/07/2026 15:24,Georgia State University,Ponce City Market,casual
R101481,2026-06-15 16:00:00,2026-06-15 16:09:55,little five points,Midtown MARTA,member
R105787,2026-07-28 16:04:00,2026-07-28 16:16:11,GEORGIA STATE UNIVERSITY,Centennial Olympic Park,member
R105269,2026-07-23 01:49:00,07/23/2026 01:59,krog street market,Piedmont Park,member
R105851,07/29/2026 06:46,2026-07-29 07:10:39,Georgia State University,PONCE CITY MARKET,casual
R100236,2026-06-03 12:33:00,2026-06-03 12:49:29,MIDTOWN MARTA,Ponce City Market,member
R105512,2026-07-26 15:11:00,2026-07-26 15:13:30,atlantic station,Georgia State University,casual
R100994,2026-06-10 02:42:00,2026-06-10 02:58:29,Georgia State University,Ponce City Market,casual
R104049,2026-07-11 07:37:00,2026-07-11 08:02:38,Ponce City Market,MIDTOWN MARTA,casual
